HYNE001c01a_Flagellum_1	GCF0000527
PABE001c01a_Flagellum_1	GCF0000528
ROLI001c01a_T1SS_1	GCF0000529
HAIN007c01a_T5cSS_1	GCF0000530
HASO002c01a_T5cSS_11	GCF0000531
AZB5001p03a_T1SS_1	GCF0000532
BRAV001c01a_T5aSS_1	GCF0000533
BRJA002c01a_T5aSS_7	GCF0000534
BACG001c01a_Flagellum_1	GCF0000535
HYDE001c01a_Flagellum_1	GCF0000536
PSFO001c01a_Flagellum_1	GCF0000537
RHVA001c01a_Flagellum_1	GCF0000538
POGL001c01a_Flagellum_1	GCF0000539
AGH1001c01a_Flagellum_1	GCF0000540
MELO001c01a_Flagellum_1	GCF0000541
MECI001c01a_T5aSS_2	GCF0000542
AZB5001p05a_Flagellum_1	GCF0000543
RHCE001c01a_Flagellum_1	GCF0000544
NIHA001c01a_T5aSS_1	GCF0000545
HYDE002c01a_T1SS_1	GCF0000546
DEMA001c01a_T5aSS_1	GCF0000547
POSP001c01a_T5bSS_1	GCF0000548
CHVI001c01a_T5aSS_1	GCF0000549
CEJA001c01a_T1SS_4	GCF0000550
ESCO002c01a_T5bSS_1	GCF0000551
RAAQ002c01a_T5aSS_5	GCF0000552
MEJ7001c01a_T5bSS_1	GCF0000553
DEIN001c01a_T4SS_typeF_1	GCF0000554
SYAC001c01a_T4SS_typeF_1	GCF0000555
DEAE001c01a_T4SS_typeF_1	GCF0000556
PEPR001p01a_T4SS_typeF_1	GCF0000557
MEEL001c01a_T5cSS_7	GCF0000558
OCAN001p04a_T5aSS_1	GCF0000559
HESE001c01a_T5bSS_4	GCF0000560
KLOX002c01a_T5aSS_1	GCF0000561
BOAV001c01a_T5bSS_1	GCF0000562
BU38001c03a_T5cSS_1	GCF0000563
CHVI001c01a_T5aSS_3	GCF0000564
DIDA002c01a_T5aSS_3	GCF0000565
PSBR001c01a_T5bSS_3	GCF0000566
COTE002c01a_T5bSS_2	GCF0000567
PSSY001c01a_T5aSS_2	GCF0000568
COFU001c01a_T5aSS_1	GCF0000569
SAEN034c01a_T5aSS_5	GCF0000570
BOBR002c01a_T5aSS_14	GCF0000571
SILI001c01a_T5aSS_1	GCF0000572
RHLE003c01a_T5aSS_1	GCF0000573
AGAP001c01a_T5cSS_2	GCF0000574
NELA001c01a_T5cSS_3	GCF0000575
EDTA002c01a_T5aSS_2	GCF0000576
SADE001c01a_T1SS_1	GCF0000577
PAVA001p03a_T5aSS_1	GCF0000578
YEPE006c01a_T5aSS_8	GCF0000579
ENCL004c01a_T5aSS_3	GCF0000580
BUPS004c01a_T5cSS_1	GCF0000581
COFU001c01a_T5aSS_9	GCF0000582
BUAM001c02a_T5bSS_3	GCF0000583
